バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
CastHour,Wonderful Escape,HYPER,7,744,PEAK
CastHour,Wonderful Escape,ANOTHER,10,1052,PEAK
Rootage,Wonderland,NORMAL,5,542,PEAK
Rootage,Wonderland,HYPER,9,957,NOTES
Rootage,Wonderland,ANOTHER,11,1393,NOTES
8th style,World Wide Love,NORMAL,3,,
8th style,World Wide Love,HYPER,5,526,PEAK
8th style,World Wide Love,ANOTHER,5,559,PEAK
Resort Anthem,Wuv U,NORMAL,3,208,NOTES
Resort Anthem,Wuv U,HYPER,8,672,NOTES
Resort Anthem,Wuv U,ANOTHER,10,861,PEAK
copula,X,NORMAL,7,811,NOTES
copula,X,HYPER,10,1277,NOTES
copula,X,ANOTHER,12,1952,NOTES
BISTROVER,X-ray binary,NORMAL,5,,
BISTROVER,X-ray binary,HYPER,9,983,NOTES
BISTROVER,X-ray binary,ANOTHER,11,1417,NOTES
Resort Anthem,XANADU OF TWO,NORMAL,5,,
Resort Anthem,XANADU OF TWO,HYPER,8,,
Resort Anthem,XANADU OF TWO,ANOTHER,10,1382,CHORD
8th style,xenon,NORMAL,5,570,NOTES
8th style,xenon,HYPER,9,867,NOTES
8th style,xenon,ANOTHER,11,1379,NOTES
Rootage,XENON II ～TOMOYUKIの野望～,NORMAL,6,601,NOTES
Rootage,XENON II ～TOMOYUKIの野望～,HYPER,9,915,NOTES
Rootage,XENON II ～TOMOYUKIの野望～,ANOTHER,11,1523,NOTES
HAPPY SKY,Xepher,BEGINNER,3,,
HAPPY SKY,Xepher,NORMAL,5,,
HAPPY SKY,Xepher,HYPER,10,1135,NOTES
HAPPY SKY,Xepher,ANOTHER,11,1520,NOTES
RESIDENT,Xerulean,NORMAL,7,690,NOTES
RESIDENT,Xerulean,HYPER,10,1049,PEAK
RESIDENT,Xerulean,ANOTHER,12,1802,PEAK
SINOBUZ,XINOBIKILL,NORMAL,6,506,PEAK
SINOBUZ,XINOBIKILL,HYPER,9,910,NOTES
SINOBUZ,XINOBIKILL,ANOTHER,11,1475,CHARGE
CANNON BALLERS,Xperanza,BEGINNER,3,,
CANNON BALLERS,Xperanza,NORMAL,7,701,NOTES
CANNON BALLERS,Xperanza,HYPER,10,1238,NOTES
CANNON BALLERS,Xperanza,ANOTHER,12,1637,SCRATCH
CastHour,Xyndrome,NORMAL,6,488,PEAK
CastHour,Xyndrome,HYPER,9,840,NOTES
CastHour,Xyndrome,ANOTHER,11,1495,CHORD
GOLD,Yabis Starlight,NORMAL,5,,
GOLD,Yabis Starlight,HYPER,8,,
GOLD,Yabis Starlight,ANOTHER,10,1139,CHORD
Lincle,YAKSHA,NORMAL,6,,
Lincle,YAKSHA,HYPER,10,1215,PEAK
Lincle,YAKSHA,ANOTHER,12,2000,NOTES
tricoro,YELLOW FROG from Steel Chronicle,NORMAL,3,,
tricoro,YELLOW FROG from Steel Chronicle,HYPER,7,,
tricoro,YELLOW FROG from Steel Chronicle,ANOTHER,9,963,CHORD
tricoro,YELLOW FROG from Steel Chronicle,LEGGENDARIA,11,1408,CHARGE
Lincle,yellow head joe,NORMAL,4,401,NOTES
Lincle,yellow head joe,HYPER,8,778,NOTES
Lincle,yellow head joe,ANOTHER,10,1152,NOTES
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),NORMAL,4,389,PEAK
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),HYPER,9,943,NOTES
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),ANOTHER,11,1479,NOTES
Lincle,Yellow Sunrise,NORMAL,4,,
Lincle,Yellow Sunrise,HYPER,7,,
Lincle,Yellow Sunrise,ANOTHER,10,1145,NOTES
EMPRESS,"You'll say ""Now!""",NORMAL,6,,
EMPRESS,"You'll say ""Now!""",HYPER,10,962,PEAK
EMPRESS,"You'll say ""Now!""",ANOTHER,11,1276,NOTES
HEROIC VERSE,Ypsilon,NORMAL,6,,
HEROIC VERSE,Ypsilon,HYPER,9,913,NOTES
HEROIC VERSE,Ypsilon,ANOTHER,11,1466,NOTES
HEROIC VERSE,Ypsilon,LEGGENDARIA,12,1801,NOTES
Rootage,Yum Yum Jelly,NORMAL,5,398,PEAK
Rootage,Yum Yum Jelly,HYPER,9,799,PEAK
Rootage,Yum Yum Jelly,ANOTHER,11,1204,PEAK
tricoro,ZED,NORMAL,5,474,NOTES
tricoro,ZED,HYPER,8,876,NOTES
tricoro,ZED,ANOTHER,11,1405,PEAK
Rootage,ZENDEGI DANCE,NORMAL,6,,
Rootage,ZENDEGI DANCE,HYPER,9,935,NOTES
Rootage,ZENDEGI DANCE,ANOTHER,11,1393,NOTES
BISTROVER,Zenith,NORMAL,5,428,PEAK
BISTROVER,Zenith,HYPER,9,,
BISTROVER,Zenith,ANOTHER,11,1128,CHARGE
RESIDENT,ZENITH,NORMAL,6,,
RESIDENT,ZENITH,HYPER,9,1020,NOTES
RESIDENT,ZENITH,ANOTHER,11,1531,NOTES
DistorteD,Zenius -I- vanisher,NORMAL,5,,
DistorteD,Zenius -I- vanisher,HYPER,7,790,PEAK
DistorteD,Zenius -I- vanisher,ANOTHER,10,1209,NOTES
copula,ZEPHYRANTHES,NORMAL,5,514,NOTES
copula,ZEPHYRANTHES,HYPER,9,943,NOTES
copula,ZEPHYRANTHES,ANOTHER,11,1499,NOTES
copula,ZEPHYRANTHES,LEGGENDARIA,12,1982,NOTES
7th style,ZERO-ONE,NORMAL,5,,
7th style,ZERO-ONE,HYPER,9,874,NOTES
7th style,ZERO-ONE,ANOTHER,10,1132,NOTES
7th style,ZERO-ONE,LEGGENDARIA,11,1448,NOTES
EPOLIS,ZEROIN ON THE LIGHT,NORMAL,5,,
EPOLIS,ZEROIN ON THE LIGHT,HYPER,8,887,NOTES
EPOLIS,ZEROIN ON THE LIGHT,ANOTHER,10,1345,NOTES
Resort Anthem,ZETA～素数の世界と超越者～,BEGINNER,2,167,SOF-LAN
Resort Anthem,ZETA～素数の世界と超越者～,NORMAL,4,307,SOF-LAN
Resort Anthem,ZETA～素数の世界と超越者～,HYPER,9,1097,SOF-LAN
Resort Anthem,ZETA～素数の世界と超越者～,ANOTHER,11,1583,NOTES
tricoro,Zirkfied,NORMAL,5,524,PEAK
tricoro,Zirkfied,HYPER,10,1055,PEAK
tricoro,Zirkfied,ANOTHER,12,1968,PEAK
PENDUAL,ZZ,NORMAL,6,667,NOTES
PENDUAL,ZZ,HYPER,10,1042,NOTES
PENDUAL,ZZ,ANOTHER,12,1541,NOTES
HAPPY SKY,100％ minimoo-G,NORMAL,5,474,NOTES
HAPPY SKY,100％ minimoo-G,HYPER,10,871,PEAK
HAPPY SKY,100％ minimoo-G,ANOTHER,11,903,PEAK
CastHour,10000 MILES AWAY,NORMAL,5,,
CastHour,10000 MILES AWAY,HYPER,9,842,SCRATCH
CastHour,10000 MILES AWAY,ANOTHER,11,1494,CHARGE
CANNON BALLERS,1001 -ESCAPE-,NORMAL,5,524,NOTES
CANNON BALLERS,1001 -ESCAPE-,HYPER,8,866,NOTES
CANNON BALLERS,1001 -ESCAPE-,ANOTHER,10,1327,CHORD
INFINITAS,100sec. Kitchen Battle!!,NORMAL,4,,
INFINITAS,100sec. Kitchen Battle!!,HYPER,7,,
INFINITAS,100sec. Kitchen Battle!!,ANOTHER,10,809,SOF-LAN
INFINITAS,1116,NORMAL,6,,
INFINITAS,1116,HYPER,10,,
INFINITAS,1116,ANOTHER,12,1581,PEAK
6th style,19，November,NORMAL,5,560,NOTES
6th style,19，November,HYPER,6,733,NOTES
6th style,19，November,ANOTHER,8,910,NOTES
copula,199024club -Re:BounceKiller-,NORMAL,5,,
copula,199024club -Re:BounceKiller-,HYPER,10,873,SCRATCH
copula,199024club -Re:BounceKiller-,ANOTHER,12,1260,SCRATCH
10th style,1st Samurai,NORMAL,5,,
10th style,1st Samurai,HYPER,10,1016,NOTES
10th style,1st Samurai,ANOTHER,11,1383,NOTES
CastHour,2 Beasts Unchained,NORMAL,7,759,NOTES
CastHour,2 Beasts Unchained,HYPER,10,1145,NOTES
CastHour,2 Beasts Unchained,ANOTHER,12,1780,NOTES
EPOLIS,20XX,NORMAL,6,,
EPOLIS,20XX,HYPER,9,919,NOTES
EPOLIS,20XX,ANOTHER,11,1370,NOTES
1st&substream,22DUNK,NORMAL,3,,
1st&substream,22DUNK,HYPER,4,323,NOTES
1st&substream,22DUNK,ANOTHER,5,329,PEAK
INFINITAS,24h Endurance Race,NORMAL,5,504,NOTES
INFINITAS,24h Endurance Race,HYPER,10,1096,NOTES
INFINITAS,24h Endurance Race,ANOTHER,12,1743,NOTES
Lincle,24th Century BOY,NORMAL,5,430,PEAK
Lincle,24th Century BOY,HYPER,9,996,NOTES
Lincle,24th Century BOY,ANOTHER,11,1456,PEAK
4th style,250bpm,NORMAL,5,353,SCRATCH
4th style,250bpm,HYPER,8,528,SCRATCH
4th style,250bpm,ANOTHER,10,726,SCRATCH
CANNON BALLERS,255,NORMAL,6,,
CANNON BALLERS,255,HYPER,9,823,SCRATCH
CANNON BALLERS,255,ANOTHER,12,1676,NOTES
HEROIC VERSE,27th style,NORMAL,5,593,PEAK
HEROIC VERSE,27th style,HYPER,9,908,SCRATCH
HEROIC VERSE,27th style,ANOTHER,11,1299,SCRATCH
HEROIC VERSE,27th style,LEGGENDARIA,12,1765,SCRATCH
RESIDENT,3V0,NORMAL,5,,
RESIDENT,3V0,HYPER,9,929,PEAK
RESIDENT,3V0,ANOTHER,11,1530,NOTES
EMPRESS,3y3s,BEGINNER,3,,
EMPRESS,3y3s,NORMAL,7,772,PEAK
EMPRESS,3y3s,HYPER,10,1306,PEAK
EMPRESS,3y3s,ANOTHER,12,1871,PEAK
INFINITAS,3y3s(Long ver.),NORMAL,7,,
INFINITAS,3y3s(Long ver.),HYPER,10,2744,CHORD
INFINITAS,3y3s(Long ver.),ANOTHER,12,3910,CHORD
tricoro,405nm (Ryu☆mix),NORMAL,5,467,PEAK
tricoro,405nm (Ryu☆mix),HYPER,9,898,NOTES
tricoro,405nm (Ryu☆mix),ANOTHER,11,1301,NOTES
1st&substream,5.1.1.,NORMAL,2,99,PEAK
1st&substream,5.1.1.,HYPER,6,511,NOTES
1st&substream,5.1.1.,ANOTHER,10,786,SCRATCH
Rootage,50th Memorial Songs -Beginning Story-,BEGINNER,2,162,PEAK
Rootage,50th Memorial Songs -Beginning Story-,NORMAL,4,417,NOTES
Rootage,50th Memorial Songs -Beginning Story-,HYPER,8,846,NOTES
Rootage,50th Memorial Songs -Beginning Story-,ANOTHER,10,1378,CHORD
Rootage,50th Memorial Songs -Flagship medley-,BEGINNER,2,192,PEAK
Rootage,50th Memorial Songs -Flagship medley-,NORMAL,5,496,PEAK
Rootage,50th Memorial Songs -Flagship medley-,HYPER,8,786,NOTES
Rootage,50th Memorial Songs -Flagship medley-,ANOTHER,10,1157,CHORD
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,BEGINNER,3,,
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,NORMAL,5,621,NOTES
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,HYPER,8,834,NOTES
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,ANOTHER,10,1311,CHORD
Rootage,50th Memorial Songs -The BEMANI History-,BEGINNER,3,,
Rootage,50th Memorial Songs -The BEMANI History-,NORMAL,5,545,PEAK
Rootage,50th Memorial Songs -The BEMANI History-,HYPER,9,851,NOTES
Rootage,50th Memorial Songs -The BEMANI History-,ANOTHER,11,1348,PEAK
Lincle,532nm,NORMAL,3,288,PEAK
Lincle,532nm,HYPER,7,640,NOTES
Lincle,532nm,ANOTHER,11,1349,NOTES
RESIDENT,7 Colors,NORMAL,4,,
RESIDENT,7 Colors,HYPER,7,607,NOTES
RESIDENT,7 Colors,ANOTHER,10,970,NOTES
CastHour,808monkey,NORMAL,4,,
CastHour,808monkey,HYPER,7,606,NOTES
CastHour,808monkey,ANOTHER,9,914,PEAK
tricoro,8bit Princess,NORMAL,3,327,NOTES
tricoro,8bit Princess,HYPER,6,690,NOTES
tricoro,8bit Princess,ANOTHER,10,1319,CHORD
8th style,蒼い衝動,NORMAL,5,468,NOTES
8th style,蒼い衝動,HYPER,7,694,NOTES
8th style,蒼い衝動,ANOTHER,8,803,PEAK
CastHour,青の洞窟,NORMAL,4,,
CastHour,青の洞窟,HYPER,9,1033,NOTES
CastHour,青の洞窟,ANOTHER,11,1600,PEAK
INFINITAS,朱と碧のランページ,NORMAL,5,,
INFINITAS,朱と碧のランページ,HYPER,8,,
INFINITAS,朱と碧のランページ,ANOTHER,10,1266,CHORD
CastHour,アクマフカ,NORMAL,5,382,NOTES
CastHour,アクマフカ,HYPER,8,780,NOTES
CastHour,アクマフカ,ANOTHER,10,1168,NOTES
copula,朝焼けから始まるボクらの小さな旅,NORMAL,5,,
copula,朝焼けから始まるボクらの小さな旅,HYPER,9,882,PEAK
copula,朝焼けから始まるボクらの小さな旅,ANOTHER,11,1298,PEAK
copula,紫陽花 -AZISAI-,NORMAL,7,655,NOTES
copula,紫陽花 -AZISAI-,HYPER,10,1094,NOTES
copula,紫陽花 -AZISAI-,ANOTHER,12,1490,PEAK
tricoro,アストライアの双皿,NORMAL,4,345,NOTES
tricoro,アストライアの双皿,HYPER,9,1110,NOTES
tricoro,アストライアの双皿,ANOTHER,12,1632,NOTES
EPOLIS,アタシ完全絶対正義ちゃん！,NORMAL,5,,
EPOLIS,アタシ完全絶対正義ちゃん！,HYPER,8,813,NOTES
EPOLIS,アタシ完全絶対正義ちゃん！,ANOTHER,10,1082,NOTES
EMPRESS,アタック NO.3,NORMAL,5,,
EMPRESS,アタック NO.3,HYPER,7,,
EMPRESS,アタック NO.3,ANOTHER,9,1075,NOTES
CastHour,天邪鬼,BEGINNER,2,209,PEAK
CastHour,天邪鬼,NORMAL,5,,
CastHour,天邪鬼,HYPER,9,870,NOTES
CastHour,天邪鬼,ANOTHER,12,1693,NOTES
RESIDENT,雨のちパノラマセカイ,NORMAL,4,,
RESIDENT,雨のちパノラマセカイ,HYPER,7,,
RESIDENT,雨のちパノラマセカイ,ANOTHER,9,1112,CHORD
PENDUAL,妖隠し -あやかしかくし-,NORMAL,5,,
PENDUAL,妖隠し -あやかしかくし-,HYPER,9,803,NOTES
PENDUAL,妖隠し -あやかしかくし-,ANOTHER,10,1103,NOTES
SPADA,アルストロメリア,BEGINNER,1,109,PEAK
SPADA,アルストロメリア,NORMAL,5,495,NOTES
SPADA,アルストロメリア,HYPER,8,804,NOTES
SPADA,アルストロメリア,ANOTHER,10,1254,NOTES
RESIDENT,あるビー！ feat.ころねぽち,NORMAL,4,,
RESIDENT,あるビー！ feat.ころねぽち,HYPER,9,,
RESIDENT,あるビー！ feat.ころねぽち,ANOTHER,11,1457,NOTES
Rootage,& Intelligence,NORMAL,5,594,NOTES
Rootage,& Intelligence,HYPER,9,1112,NOTES
Rootage,& Intelligence,ANOTHER,11,1623,NOTES
INFINITAS,イグジスター,NORMAL,5,,
INFINITAS,イグジスター,HYPER,9,,
INFINITAS,イグジスター,ANOTHER,11,1328,NOTES
SINOBUZ,イザナミノナゲキ,NORMAL,6,,
SINOBUZ,イザナミノナゲキ,HYPER,9,1007,NOTES
SINOBUZ,イザナミノナゲキ,ANOTHER,12,1661,NOTES
PENDUAL,十六夜セツナ,NORMAL,5,,
PENDUAL,十六夜セツナ,HYPER,7,823,NOTES
PENDUAL,十六夜セツナ,ANOTHER,10,1132,PEAK
CastHour,愛しくてラヴィンユー ft. マナ,NORMAL,4,407,NOTES
CastHour,愛しくてラヴィンユー ft. マナ,HYPER,7,,
CastHour,愛しくてラヴィンユー ft. マナ,ANOTHER,10,1209,NOTES
BISTROVER,犬に雨傘,NORMAL,4,471,PEAK
BISTROVER,犬に雨傘,HYPER,7,740,NOTES
BISTROVER,犬に雨傘,ANOTHER,9,1069,CHORD
CANNON BALLERS,命の標本,NORMAL,4,372,PEAK
CANNON BALLERS,命の標本,HYPER,8,864,PEAK
CANNON BALLERS,命の標本,ANOTHER,11,1358,PEAK
CANNON BALLERS,うさ☆かめ 大戦争！,NORMAL,6,487,SCRATCH
CANNON BALLERS,うさ☆かめ 大戦争！,HYPER,8,836,SCRATCH
CANNON BALLERS,うさ☆かめ 大戦争！,ANOTHER,11,1276,NOTES
CastHour,ウツシミウツシ,NORMAL,6,,
CastHour,ウツシミウツシ,HYPER,9,1049,NOTES
CastHour,ウツシミウツシ,ANOTHER,11,1595,NOTES
tricoro,梅雪夜,NORMAL,5,445,NOTES
tricoro,梅雪夜,HYPER,7,759,PEAK
tricoro,梅雪夜,ANOTHER,10,1081,CHORD
copula,麗 ～うらら～,NORMAL,5,577,NOTES
copula,麗 ～うらら～,HYPER,9,903,NOTES
copula,麗 ～うらら～,ANOTHER,11,1329,NOTES
SPADA,ATHER,NORMAL,5,,
SPADA,ATHER,HYPER,8,833,SCRATCH
SPADA,ATHER,ANOTHER,11,1440,NOTES
RESIDENT,栄冠のカンパネラ,NORMAL,7,687,CHARGE
RESIDENT,栄冠のカンパネラ,HYPER,10,1101,CHARGE
RESIDENT,栄冠のカンパネラ,ANOTHER,12,2000,CHARGE
copula,駅猫のワルツ,NORMAL,6,,
copula,駅猫のワルツ,HYPER,10,1174,PEAK
copula,駅猫のワルツ,ANOTHER,12,1558,NOTES
CANNON BALLERS,エディブルフラワーの独白,NORMAL,4,411,NOTES
CANNON BALLERS,エディブルフラワーの独白,HYPER,8,795,NOTES
CANNON BALLERS,エディブルフラワーの独白,ANOTHER,10,1110,CHORD
tricoro,ΕΛΠΙΣ,NORMAL,6,,
tricoro,ΕΛΠΙΣ,HYPER,10,1075,NOTES
tricoro,ΕΛΠΙΣ,ANOTHER,12,1600,NOTES
tricoro,ΕΛΠΙΣ,LEGGENDARIA,12,1852,NOTES
SINOBUZ,焔極OVERKILL,NORMAL,6,,
SINOBUZ,焔極OVERKILL,HYPER,10,1118,NOTES
SINOBUZ,焔極OVERKILL,ANOTHER,12,1901,NOTES
RESIDENT,《ORDERBREAKER》,NORMAL,6,,
RESIDENT,《ORDERBREAKER》,HYPER,9,815,NOTES
RESIDENT,《ORDERBREAKER》,ANOTHER,11,1257,CHARGE
Rootage,おーまい！らぶりー！すうぃーてぃ！だーりん！,NORMAL,5,,
Rootage,おーまい！らぶりー！すうぃーてぃ！だーりん！,HYPER,9,1009,NOTES
Rootage,おーまい！らぶりー！すうぃーてぃ！だーりん！,ANOTHER,11,1480,NOTES
CastHour,オールトの雲,NORMAL,6,617,NOTES
CastHour,オールトの雲,HYPER,9,1015,NOTES
CastHour,オールトの雲,ANOTHER,11,1335,PEAK
SINOBUZ,お命ちょうDAI！901娘,NORMAL,5,,
SINOBUZ,お命ちょうDAI！901娘,HYPER,8,,
SINOBUZ,お命ちょうDAI！901娘,ANOTHER,10,1177,NOTES
RESIDENT,Ou Legends,NORMAL,6,581,NOTES
RESIDENT,Ou Legends,HYPER,10,1068,NOTES
RESIDENT,Ou Legends,ANOTHER,12,1687,NOTES
Resort Anthem,おおきなこえで,NORMAL,3,230,PEAK
Resort Anthem,おおきなこえで,HYPER,5,502,PEAK
Resort Anthem,おおきなこえで,ANOTHER,7,754,PEAK
Resort Anthem,おおきなこえで,LEGGENDARIA,10,1095,CHORD
Rootage,お菓子の王国,NORMAL,7,718,NOTES
Rootage,お菓子の王国,HYPER,10,1191,NOTES
Rootage,お菓子の王国,ANOTHER,12,2109,PEAK
Rootage,お菓子の王国,LEGGENDARIA,12,2442,PEAK
tricoro,お米の美味しい炊き方、そしてお米を食べることによるその効果。,NORMAL,5,459,SCRATCH
tricoro,お米の美味しい炊き方、そしてお米を食べることによるその効果。,HYPER,8,812,PEAK
tricoro,お米の美味しい炊き方、そしてお米を食べることによるその効果。,ANOTHER,10,1122,NOTES
SPADA,御千手メディテーション,NORMAL,4,,
SPADA,御千手メディテーション,HYPER,9,,
SPADA,御千手メディテーション,ANOTHER,11,1170,SCRATCH
PENDUAL,鬼天,NORMAL,6,,
PENDUAL,鬼天,HYPER,9,889,PEAK
PENDUAL,鬼天,ANOTHER,11,1265,CHARGE
SPADA,お願いアインシュタイン,NORMAL,5,,
SPADA,お願いアインシュタイン,HYPER,8,753,NOTES
SPADA,お願いアインシュタイン,ANOTHER,10,1066,CHORD
tricoro,朧,BEGINNER,1,104,PEAK
tricoro,朧,NORMAL,4,,
tricoro,朧,HYPER,7,758,NOTES
tricoro,朧,ANOTHER,10,1060,NOTES
tricoro,朧,LEGGENDARIA,11,1280,CHORD
copula,オルタネイトβ,NORMAL,4,424,NOTES
copula,オルタネイトβ,HYPER,7,,
copula,オルタネイトβ,ANOTHER,10,1137,NOTES
tricoro,音楽,NORMAL,5,453,SOF-LAN
tricoro,音楽,HYPER,10,1038,SOF-LAN
tricoro,音楽,ANOTHER,12,1487,SOF-LAN
Rootage,X-DEN,NORMAL,8,861,NOTES
Rootage,X-DEN,HYPER,11,1418,PEAK
Rootage,X-DEN,ANOTHER,12,2220,PEAK
Lincle,蛇神,BEGINNER,2,212,PEAK
Lincle,蛇神,NORMAL,4,368,NOTES
Lincle,蛇神,HYPER,8,773,PEAK
Lincle,蛇神,ANOTHER,11,1438,PEAK
7th style,革命,NORMAL,6,,
7th style,革命,HYPER,10,1004,SOF-LAN
7th style,革命,ANOTHER,10,1183,NOTES
Resort Anthem,かげぬい ～ Ver.BENIBOTAN ～,BEGINNER,3,,
Resort Anthem,かげぬい ～ Ver.BENIBOTAN ～,NORMAL,5,450,PEAK
Resort Anthem,かげぬい ～ Ver.BENIBOTAN ～,HYPER,7,718,PEAK
Resort Anthem,かげぬい ～ Ver.BENIBOTAN ～,ANOTHER,9,980,NOTES
Lincle,陽炎,NORMAL,3,,
Lincle,陽炎,HYPER,6,606,NOTES
Lincle,陽炎,ANOTHER,9,1010,NOTES
tricoro,下弦の月,NORMAL,5,477,PEAK
tricoro,下弦の月,HYPER,7,755,PEAK
tricoro,下弦の月,ANOTHER,9,1000,CHORD
SINOBUZ,禍根,NORMAL,5,411,NOTES
SINOBUZ,禍根,HYPER,9,704,NOTES
SINOBUZ,禍根,ANOTHER,11,1336,NOTES
DistorteD,カゴノトリ～弐式～,NORMAL,6,581,PEAK
DistorteD,カゴノトリ～弐式～,HYPER,9,944,PEAK
DistorteD,カゴノトリ～弐式～,ANOTHER,12,1325,PEAK
copula,か・し・ま・し☆PUMP UP！,NORMAL,6,607,NOTES
copula,か・し・ま・し☆PUMP UP！,HYPER,9,966,SCRATCH
copula,か・し・ま・し☆PUMP UP！,ANOTHER,11,1453,NOTES
tricoro,カジノファイヤーことみちゃん,NORMAL,4,331,NOTES
tricoro,カジノファイヤーことみちゃん,HYPER,8,737,NOTES
tricoro,カジノファイヤーことみちゃん,ANOTHER,11,1271,SCRATCH
SIRIUS,かずあそび,NORMAL,3,265,PEAK
SIRIUS,かずあそび,HYPER,6,600,NOTES
SIRIUS,かずあそび,ANOTHER,8,852,NOTES
tricoro,仮想空間の旅人たち,NORMAL,5,587,NOTES
tricoro,仮想空間の旅人たち,HYPER,9,1121,NOTES
tricoro,仮想空間の旅人たち,ANOTHER,11,1450,NOTES
tricoro,仮想空間の旅人たち,LEGGENDARIA,12,1943,CHORD
DistorteD,華蝶風雪,NORMAL,6,638,NOTES
DistorteD,華蝶風雪,HYPER,10,1064,PEAK
DistorteD,華蝶風雪,ANOTHER,11,1500,NOTES
DistorteD,華蝶風雪,LEGGENDARIA,12,2014,CHORD
EPOLIS,神様、つれない。,NORMAL,4,,
EPOLIS,神様、つれない。,HYPER,7,721,NOTES
EPOLIS,神様、つれない。,ANOTHER,10,1083,NOTES
RESIDENT,神のシナリオ,NORMAL,6,,
RESIDENT,神のシナリオ,HYPER,9,882,CHARGE
RESIDENT,神のシナリオ,ANOTHER,12,1652,CHARGE
GOLD,カミロ・ウナ・メンデス,NORMAL,3,,
GOLD,カミロ・ウナ・メンデス,HYPER,7,,
GOLD,カミロ・ウナ・メンデス,ANOTHER,10,981,NOTES
RESIDENT,#CMFLG,NORMAL,6,,
RESIDENT,#CMFLG,HYPER,10,1186,NOTES
RESIDENT,#CMFLG,ANOTHER,12,1748,NOTES
SINOBUZ,鴉,NORMAL,7,763,NOTES
SINOBUZ,鴉,HYPER,10,1136,CHORD
SINOBUZ,鴉,ANOTHER,11,1356,CHORD
INFINITAS,カラルの月,NORMAL,5,,
INFINITAS,カラルの月,HYPER,8,,
INFINITAS,カラルの月,ANOTHER,11,1343,CHARGE
HEROIC VERSE,華麗なる大犬円舞曲,NORMAL,7,710,SOF-LAN
HEROIC VERSE,華麗なる大犬円舞曲,HYPER,10,1105,SOF-LAN
HEROIC VERSE,華麗なる大犬円舞曲,ANOTHER,12,1849,NOTES
8th style,合体せよ！ストロングイェーガー！！,NORMAL,6,,
8th style,合体せよ！ストロングイェーガー！！,HYPER,7,879,NOTES
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),NORMAL,5,,
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),HYPER,8,807,PEAK
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),ANOTHER,11,972,PEAK
HEROIC VERSE,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,NORMAL,7,789,NOTES
HEROIC VERSE,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,HYPER,10,1399,NOTES
HEROIC VERSE,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,ANOTHER,12,2192,NOTES
GOLD,鬼言集,NORMAL,6,,
GOLD,鬼言集,HYPER,8,,
GOLD,鬼言集,ANOTHER,10,1037,NOTES
INFINITAS,鬼華-修羅の舞-,NORMAL,7,,
INFINITAS,鬼華-修羅の舞-,HYPER,10,1270,NOTES
INFINITAS,鬼華-修羅の舞-,ANOTHER,12,2286,NOTES
Lincle,君のハートにロックオン,NORMAL,4,359,NOTES
Lincle,君のハートにロックオン,HYPER,9,904,NOTES
Lincle,君のハートにロックオン,ANOTHER,11,1363,NOTES
HAPPY SKY,キャッシュレスは愛情消すティッシュ,NORMAL,4,,
HAPPY SKY,キャッシュレスは愛情消すティッシュ,HYPER,8,,
HAPPY SKY,キャッシュレスは愛情消すティッシュ,ANOTHER,10,1079,NOTES
tricoro,キャトられ恋はモ～モク,NORMAL,6,,
tricoro,キャトられ恋はモ～モク,HYPER,10,1359,NOTES
tricoro,キャトられ恋はモ～モク,ANOTHER,12,1988,NOTES
INFINITAS,キヤロラ衛星の軌跡,NORMAL,6,,
INFINITAS,キヤロラ衛星の軌跡,HYPER,9,,
INFINITAS,キヤロラ衛星の軌跡,ANOTHER,12,1652,CHARGE
SINOBUZ,九尾狐夜行,NORMAL,5,438,NOTES
SINOBUZ,九尾狐夜行,HYPER,9,912,NOTES
SINOBUZ,九尾狐夜行,ANOTHER,12,1521,CHORD
RESIDENT,きゅんです。,NORMAL,4,,
RESIDENT,きゅんです。,HYPER,7,724,NOTES
RESIDENT,きゅんです。,ANOTHER,10,1177,CHORD
RESIDENT,響花水月,NORMAL,6,,
RESIDENT,響花水月,HYPER,9,974,NOTES
RESIDENT,響花水月,ANOTHER,11,1487,NOTES
HEROIC VERSE,狂水一華,NORMAL,5,489,NOTES
HEROIC VERSE,狂水一華,HYPER,9,888,NOTES
HEROIC VERSE,狂水一華,ANOTHER,11,1370,NOTES
Sparkle Shower,鏡像都市,NORMAL,4,,
Sparkle Shower,鏡像都市,HYPER,7,700,NOTES
Sparkle Shower,鏡像都市,ANOTHER,9,985,CHORD
CANNON BALLERS,共犯ヘヴンズコード,NORMAL,3,258,NOTES
CANNON BALLERS,共犯ヘヴンズコード,HYPER,7,704,NOTES
