バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性,カテゴリ
INFINITAS,Welcome to the Mosh Pit,lapix,ANOTHER,12,,,楽曲パック vol.28
CastHour,WHA,かめりあ involving ななひら,NORMAL,7,687,SCRATCH,BIT解禁曲
CastHour,WHA,かめりあ involving ななひら,HYPER,10,1127,SCRATCH,BIT解禁曲
CastHour,WHA,かめりあ involving ななひら,ANOTHER,12,1928,SCRATCH,BIT解禁曲
copula,Wheel of Journey,Vivian,NORMAL,3,306,PEAK,楽曲パック vol.11
copula,Wheel of Journey,Vivian,HYPER,8,691,PEAK,楽曲パック vol.11
copula,Wheel of Journey,Vivian,ANOTHER,10,,,楽曲パック vol.11
DistorteD,Why did you go away,jun with TAHIRIH,NORMAL,5,552,NOTES,BIT解禁曲
DistorteD,Why did you go away,jun with TAHIRIH,HYPER,9,901,NOTES,BIT解禁曲
DistorteD,Why did you go away,jun with TAHIRIH,ANOTHER,11,1165,NOTES,BIT解禁曲
INFINITAS,WILD FIRE,がるる,NORMAL,4,,,楽曲パック vol.27
INFINITAS,WILD FIRE,がるる,HYPER,7,703,SCRATCH,楽曲パック vol.27
INFINITAS,WILD FIRE,がるる,ANOTHER,10,,,楽曲パック vol.27
Rootage,Wing of Hearts,USAO & DJ Nanashi,NORMAL,5,565,NOTES,楽曲パック vol.16
Rootage,Wing of Hearts,USAO & DJ Nanashi,HYPER,8,918,NOTES,楽曲パック vol.16
Rootage,Wing of Hearts,USAO & DJ Nanashi,ANOTHER,11,1477,CHORD,楽曲パック vol.16
EPOLIS,winkle 2 winkle,Ryu☆ ft.NU-KO,NORMAL,6,529,NOTES,楽曲パック vol.28
EPOLIS,winkle 2 winkle,Ryu☆ ft.NU-KO,HYPER,9,920,NOTES,楽曲パック vol.28
EPOLIS,winkle 2 winkle,Ryu☆ ft.NU-KO,ANOTHER,11,,,楽曲パック vol.28
BISTROVER,Winner's Proof ft. KANASA from bless4,"BEMANI Sound Team ""HuΣeR"" & kors k",NORMAL,4,386,NOTES,BPL セレクション 楽曲パック vol.1
BISTROVER,Winner's Proof ft. KANASA from bless4,"BEMANI Sound Team ""HuΣeR"" & kors k",HYPER,7,678,NOTES,BPL セレクション 楽曲パック vol.1
BISTROVER,Winner's Proof ft. KANASA from bless4,"BEMANI Sound Team ""HuΣeR"" & kors k",ANOTHER,10,1089,NOTES,BPL セレクション 楽曲パック vol.1
DistorteD,Winning Eleven9 Theme(IIDX EDITION),Sota Fujimori,NORMAL,4,420,NOTES,BIT解禁曲
DistorteD,Winning Eleven9 Theme(IIDX EDITION),Sota Fujimori,HYPER,7,730,PEAK,BIT解禁曲
Resort Anthem,WISE UP!,木之下慶行 feat.星野奏子,NORMAL,3,284,NOTES,BIT解禁曲
Resort Anthem,WISE UP!,木之下慶行 feat.星野奏子,HYPER,6,487,PEAK,BIT解禁曲
Resort Anthem,WISE UP!,木之下慶行 feat.星野奏子,ANOTHER,9,792,NOTES,BIT解禁曲
Resort Anthem,WISE UP!,木之下慶行 feat.星野奏子,LEGGENDARIA,11,1316,CHORD,BIT解禁曲
DistorteD,wish,DJ Yoshitaka feat.杉村ことみ,NORMAL,4,400,PEAK,BIT解禁曲
DistorteD,wish,DJ Yoshitaka feat.杉村ことみ,HYPER,6,601,NOTES,BIT解禁曲
DistorteD,wish,DJ Yoshitaka feat.杉村ことみ,ANOTHER,8,784,NOTES,BIT解禁曲
DistorteD,WISH(EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ,NORMAL,5,532,NOTES,BIT解禁曲
DistorteD,WISH(EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ,HYPER,8,793,NOTES,BIT解禁曲
DistorteD,WISH(EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ,ANOTHER,9,988,NOTES,BIT解禁曲
SIRIUS,with me...,Sota Fujimori feat.Kemy,NORMAL,5,,,初期収録曲
SIRIUS,with me...,Sota Fujimori feat.Kemy,HYPER,8,,,初期収録曲
SIRIUS,with me...,Sota Fujimori feat.Kemy,ANOTHER,9,1089,NOTES,初期収録曲
DistorteD,with you…,Sota Fujimori,NORMAL,4,398,NOTES,初期収録曲
DistorteD,with you…,Sota Fujimori,HYPER,7,580,PEAK,初期収録曲
DistorteD,with you…,Sota Fujimori,ANOTHER,11,1324,CHORD,初期収録曲
SPADA,WOBBLE IMPACT,Sota Fujimori,NORMAL,3,,,楽曲パック vol.7
SPADA,WOBBLE IMPACT,Sota Fujimori,HYPER,8,893,NOTES,楽曲パック vol.7
SPADA,WOBBLE IMPACT,Sota Fujimori,ANOTHER,11,,,楽曲パック vol.7
Rootage,Wolf 1061,Xceon,NORMAL,5,572,NOTES,楽曲パック vol.17
Rootage,Wolf 1061,Xceon,HYPER,9,936,CHARGE,楽曲パック vol.17
Rootage,Wolf 1061,Xceon,ANOTHER,11,1514,PEAK,楽曲パック vol.17
Lincle,WONDER WALKER,L.E.D.,NORMAL,5,498,NOTES,楽曲パック vol.2
Lincle,WONDER WALKER,L.E.D.,HYPER,9,1020,NOTES,楽曲パック vol.2
Lincle,WONDER WALKER,L.E.D.,ANOTHER,12,1916,NOTES,楽曲パック vol.2
CastHour,Wonderful Escape,DÉ DÉ MOUSE,NORMAL,5,494,NOTES,楽曲パック vol.24
CastHour,Wonderful Escape,DÉ DÉ MOUSE,HYPER,8,726,NOTES,楽曲パック vol.24
CastHour,Wonderful Escape,DÉ DÉ MOUSE,ANOTHER,10,1035,PEAK,楽曲パック vol.24
Rootage,Wonderland,kors k,NORMAL,5,533,PEAK,楽曲パック vol.17
Rootage,Wonderland,kors k,HYPER,9,901,NOTES,楽曲パック vol.17
Rootage,Wonderland,kors k,ANOTHER,11,1392,NOTES,楽曲パック vol.17
8th style,World Wide Love,MTO,NORMAL,4,454,NOTES,BIT解禁曲
8th style,World Wide Love,MTO,HYPER,5,560,PEAK,BIT解禁曲
Resort Anthem,Wuv U,kors k,NORMAL,7,623,NOTES,BIT解禁曲
Resort Anthem,Wuv U,kors k,HYPER,9,804,NOTES,BIT解禁曲
Resort Anthem,Wuv U,kors k,ANOTHER,11,1089,PEAK,BIT解禁曲
copula,X,D.J.Amuro,NORMAL,7,802,NOTES,楽曲パック vol.11
copula,X,D.J.Amuro,HYPER,10,1377,NOTES,楽曲パック vol.11
copula,X,D.J.Amuro,ANOTHER,12,2086,NOTES,楽曲パック vol.11
BISTROVER,X-ray binary,"BEMANI Sound Team ""Trance Liquid""",NORMAL,5,503,NOTES,楽曲パック vol.22
BISTROVER,X-ray binary,"BEMANI Sound Team ""Trance Liquid""",HYPER,9,991,NOTES,楽曲パック vol.22
BISTROVER,X-ray binary,"BEMANI Sound Team ""Trance Liquid""",ANOTHER,11,1424,NOTES,楽曲パック vol.22
Resort Anthem,XANADU OF TWO,T.Kakuta With Starving Trancer + 森永真由美,NORMAL,5,551,NOTES,初期収録曲
Resort Anthem,XANADU OF TWO,T.Kakuta With Starving Trancer + 森永真由美,HYPER,8,879,NOTES,初期収録曲
Resort Anthem,XANADU OF TWO,T.Kakuta With Starving Trancer + 森永真由美,ANOTHER,10,1329,PEAK,初期収録曲
8th style,xenon,Mr.T,NORMAL,5,563,NOTES,初期収録曲
8th style,xenon,Mr.T,HYPER,8,865,NOTES,初期収録曲
8th style,xenon,Mr.T,ANOTHER,11,1379,NOTES,初期収録曲
Rootage,XENON II ～TOMOYUKIの野望～,Mr.T,NORMAL,6,609,NOTES,楽曲パック vol.16
Rootage,XENON II ～TOMOYUKIの野望～,Mr.T,HYPER,9,911,NOTES,楽曲パック vol.16
Rootage,XENON II ～TOMOYUKIの野望～,Mr.T,ANOTHER,11,1482,NOTES,楽曲パック vol.16
HAPPY SKY,Xepher,Tatsh,NORMAL,5,559,PEAK,初期収録曲
HAPPY SKY,Xepher,Tatsh,HYPER,10,1089,NOTES,初期収録曲
HAPPY SKY,Xepher,Tatsh,ANOTHER,11,1498,NOTES,初期収録曲
RESIDENT,Xerulean,"BEMANI Sound Team ""ZAQUVA""",NORMAL,7,709,PEAK,楽曲パック vol.26
RESIDENT,Xerulean,"BEMANI Sound Team ""ZAQUVA""",HYPER,10,1043,PEAK,楽曲パック vol.26
RESIDENT,Xerulean,"BEMANI Sound Team ""ZAQUVA""",ANOTHER,12,,,楽曲パック vol.26
SINOBUZ,XINOBIKILL,SOUND HOLIC feat. Nana Takahashi,NORMAL,5,558,PEAK,楽曲パック vol.13
SINOBUZ,XINOBIKILL,SOUND HOLIC feat. Nana Takahashi,HYPER,9,1074,PEAK,楽曲パック vol.13
SINOBUZ,XINOBIKILL,SOUND HOLIC feat. Nana Takahashi,ANOTHER,11,1566,NOTES,楽曲パック vol.13
CANNON BALLERS,Xperanza,aran,NORMAL,7,690,NOTES,BIT解禁曲
CANNON BALLERS,Xperanza,aran,HYPER,10,1141,NOTES,BIT解禁曲
CANNON BALLERS,Xperanza,aran,ANOTHER,12,1698,CHORD,BIT解禁曲
CastHour,Xyndrome,nora2r,NORMAL,6,529,PEAK,楽曲パック vol.23
CastHour,Xyndrome,nora2r,HYPER,9,901,SCRATCH,楽曲パック vol.23
CastHour,Xyndrome,nora2r,ANOTHER,11,1480,CHORD,楽曲パック vol.23
GOLD,Yabis Starlight,DAJI,NORMAL,5,,,BIT解禁曲
GOLD,Yabis Starlight,DAJI,HYPER,8,731,PEAK,BIT解禁曲
Lincle,YAKSHA,Neulakyussra,NORMAL,6,647,PEAK,楽曲パック vol.2
Lincle,YAKSHA,Neulakyussra,HYPER,11,1391,NOTES,楽曲パック vol.2
Lincle,YAKSHA,Neulakyussra,ANOTHER,12,2033,NOTES,楽曲パック vol.2
tricoro,YELLOW FROG from Steel Chronicle,劇団レコード,NORMAL,4,,,楽曲パック vol.3
tricoro,YELLOW FROG from Steel Chronicle,劇団レコード,HYPER,6,667,NOTES,楽曲パック vol.3
tricoro,YELLOW FROG from Steel Chronicle,劇団レコード,ANOTHER,10,,,楽曲パック vol.3
tricoro,YELLOW FROG from Steel Chronicle,劇団レコード,LEGGENDARIA,12,1526,CHARGE,楽曲パック vol.3
Lincle,yellow head joe,S-C-U,NORMAL,4,424,NOTES,楽曲パック vol.2
Lincle,yellow head joe,S-C-U,HYPER,9,893,NOTES,楽曲パック vol.2
Lincle,yellow head joe,S-C-U,ANOTHER,12,1438,NOTES,楽曲パック vol.2
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),高田雅史,NORMAL,4,389,PEAK,スタートアップセレクション 楽曲パック vol.3
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),高田雅史,HYPER,9,1010,NOTES,スタートアップセレクション 楽曲パック vol.3
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),高田雅史,ANOTHER,11,1545,NOTES,スタートアップセレクション 楽曲パック vol.3
Lincle,Yellow Sunrise,xac,NORMAL,4,437,NOTES,楽曲パック vol.1
Lincle,Yellow Sunrise,xac,HYPER,8,878,PEAK,楽曲パック vol.1
Lincle,Yellow Sunrise,xac,ANOTHER,11,1493,NOTES,楽曲パック vol.1
EMPRESS,"You'll say ""Now!""",BLACK STAR 幸広-YUKIHIRO-,NORMAL,7,537,NOTES,BIT解禁曲
EMPRESS,"You'll say ""Now!""",BLACK STAR 幸広-YUKIHIRO-,HYPER,10,940,PEAK,BIT解禁曲
EMPRESS,"You'll say ""Now!""",BLACK STAR 幸広-YUKIHIRO-,ANOTHER,11,1299,NOTES,BIT解禁曲
HEROIC VERSE,Ypsilon,"BEMANI Sound Team ""setup""",NORMAL,6,579,PEAK,BPL セレクション 楽曲パック vol.1
HEROIC VERSE,Ypsilon,"BEMANI Sound Team ""setup""",HYPER,9,896,NOTES,BPL セレクション 楽曲パック vol.1
HEROIC VERSE,Ypsilon,"BEMANI Sound Team ""setup""",ANOTHER,11,1402,NOTES,BPL セレクション 楽曲パック vol.1
HEROIC VERSE,Ypsilon,"BEMANI Sound Team ""setup""",LEGGENDARIA,12,1796,NOTES,BPL セレクション 楽曲パック vol.1
Rootage,Yum Yum Jelly,YUC'e,NORMAL,5,436,PEAK,楽曲パック vol.17
Rootage,Yum Yum Jelly,YUC'e,HYPER,9,820,NOTES,楽曲パック vol.17
Rootage,Yum Yum Jelly,YUC'e,ANOTHER,11,1236,NOTES,楽曲パック vol.17
tricoro,ZED,USAO,NORMAL,5,534,NOTES,楽曲パック vol.4
tricoro,ZED,USAO,HYPER,8,818,PEAK,楽曲パック vol.4
tricoro,ZED,USAO,ANOTHER,11,1479,PEAK,楽曲パック vol.4
Rootage,ZENDEGI DANCE,"ARM × BEMANI Sound Team ""U1 overground""",NORMAL,6,587,NOTES,楽曲パック vol.17
Rootage,ZENDEGI DANCE,"ARM × BEMANI Sound Team ""U1 overground""",HYPER,9,922,NOTES,楽曲パック vol.17
Rootage,ZENDEGI DANCE,"ARM × BEMANI Sound Team ""U1 overground""",ANOTHER,11,1378,NOTES,楽曲パック vol.17
BISTROVER,Zenith,Snail's House,NORMAL,5,424,PEAK,楽曲パック vol.21
BISTROVER,Zenith,Snail's House,HYPER,9,767,CHARGE,楽曲パック vol.21
BISTROVER,Zenith,Snail's House,ANOTHER,11,1227,CHARGE,楽曲パック vol.21
RESIDENT,ZENITH,Ashrount vs polysha,NORMAL,6,597,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.2
RESIDENT,ZENITH,Ashrount vs polysha,HYPER,9,1008,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.2
RESIDENT,ZENITH,Ashrount vs polysha,ANOTHER,11,,,SOUND VOLTEX セレクション 楽曲パック vol.2
DistorteD,Zenius -I- vanisher,Tatsh,NORMAL,5,492,PEAK,BIT解禁曲
DistorteD,Zenius -I- vanisher,Tatsh,HYPER,8,776,PEAK,BIT解禁曲
DistorteD,Zenius -I- vanisher,Tatsh,ANOTHER,11,1207,PEAK,BIT解禁曲
copula,ZEPHYRANTHES,TAG,NORMAL,5,510,PEAK,楽曲パック vol.11
copula,ZEPHYRANTHES,TAG,HYPER,9,983,NOTES,楽曲パック vol.11
copula,ZEPHYRANTHES,TAG,ANOTHER,11,1599,NOTES,楽曲パック vol.11
copula,ZEPHYRANTHES,TAG,LEGGENDARIA,12,1985,NOTES,楽曲パック vol.11
7th style,ZERO-ONE,Mr.T,NORMAL,5,556,NOTES,BIT解禁曲
7th style,ZERO-ONE,Mr.T,HYPER,8,874,NOTES,BIT解禁曲
7th style,ZERO-ONE,Mr.T,ANOTHER,10,1169,NOTES,BIT解禁曲
7th style,ZERO-ONE,Mr.T,LEGGENDARIA,11,1458,NOTES,BIT解禁曲
EPOLIS,ZEROIN ON THE LIGHT,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,NORMAL,5,574,NOTES,楽曲パック vol.28
EPOLIS,ZEROIN ON THE LIGHT,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,HYPER,8,884,NOTES,楽曲パック vol.28
EPOLIS,ZEROIN ON THE LIGHT,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,ANOTHER,10,,,楽曲パック vol.28
Resort Anthem,ZETA～素数の世界と超越者～,Zektbach,NORMAL,6,557,SOF-LAN,BIT解禁曲
Resort Anthem,ZETA～素数の世界と超越者～,Zektbach,HYPER,10,1307,SOF-LAN,BIT解禁曲
Resort Anthem,ZETA～素数の世界と超越者～,Zektbach,ANOTHER,12,1847,CHORD,BIT解禁曲
tricoro,Zirkfied,iconoclasm,NORMAL,5,518,PEAK,BIT解禁曲
tricoro,Zirkfied,iconoclasm,HYPER,10,1044,PEAK,BIT解禁曲
tricoro,Zirkfied,iconoclasm,ANOTHER,12,1897,CHORD,BIT解禁曲
PENDUAL,ZZ,D.J.Amuro,NORMAL,6,665,NOTES,楽曲パック vol.9
PENDUAL,ZZ,D.J.Amuro,HYPER,10,1019,NOTES,楽曲パック vol.9
PENDUAL,ZZ,D.J.Amuro,ANOTHER,12,1647,NOTES,楽曲パック vol.9
HAPPY SKY,100％ minimoo-G,Sota Fujimori,NORMAL,4,474,NOTES,BIT解禁曲
HAPPY SKY,100％ minimoo-G,Sota Fujimori,HYPER,10,871,PEAK,BIT解禁曲
HAPPY SKY,100％ minimoo-G,Sota Fujimori,ANOTHER,11,1414,PEAK,BIT解禁曲
CastHour,10000 MILES AWAY,AJURIKA,NORMAL,5,535,NOTES,楽曲パック vol.24
CastHour,10000 MILES AWAY,AJURIKA,HYPER,9,874,NOTES,楽曲パック vol.24
CastHour,10000 MILES AWAY,AJURIKA,ANOTHER,11,1504,CHARGE,楽曲パック vol.24
CANNON BALLERS,1001 -ESCAPE-,SOUND HOLIC feat. Nana Takahashi,NORMAL,5,538,SCRATCH,楽曲パック vol.15
CANNON BALLERS,1001 -ESCAPE-,SOUND HOLIC feat. Nana Takahashi,HYPER,8,851,NOTES,楽曲パック vol.15
CANNON BALLERS,1001 -ESCAPE-,SOUND HOLIC feat. Nana Takahashi,ANOTHER,10,1333,CHORD,楽曲パック vol.15
INFINITAS,100sec. Kitchen Battle!!,Orange Lounge,NORMAL,4,,,楽曲パック vol.25
INFINITAS,100sec. Kitchen Battle!!,Orange Lounge,HYPER,7,412,SOF-LAN,楽曲パック vol.25
INFINITAS,100sec. Kitchen Battle!!,Orange Lounge,ANOTHER,10,,,楽曲パック vol.25
INFINITAS,1116,"BEMANI Sound Team ""Dustup""",NORMAL,6,595,PEAK,jubeat セレクション 楽曲パック vol.1
INFINITAS,1116,"BEMANI Sound Team ""Dustup""",HYPER,10,,,jubeat セレクション 楽曲パック vol.1
INFINITAS,1116,"BEMANI Sound Team ""Dustup""",ANOTHER,12,,,jubeat セレクション 楽曲パック vol.1
6th style,19，November,good-cool,NORMAL,5,589,SCRATCH,BIT解禁曲
6th style,19，November,good-cool,HYPER,7,733,NOTES,BIT解禁曲
6th style,19，November,good-cool,ANOTHER,10,1045,PEAK,BIT解禁曲
copula,199024club -Re:BounceKiller-,DJ Mass MAD Izm*,NORMAL,5,370,SCRATCH,楽曲パック vol.11
copula,199024club -Re:BounceKiller-,DJ Mass MAD Izm*,HYPER,10,853,SCRATCH,楽曲パック vol.11
copula,199024club -Re:BounceKiller-,DJ Mass MAD Izm*,ANOTHER,12,1210,SCRATCH,楽曲パック vol.11
10th style,1st Samurai,sampling masters MEGA,NORMAL,7,729,NOTES,BIT解禁曲
10th style,1st Samurai,sampling masters MEGA,HYPER,10,1016,NOTES,BIT解禁曲
10th style,1st Samurai,sampling masters MEGA,ANOTHER,12,1455,NOTES,BIT解禁曲
CastHour,2 Beasts Unchained,kors k vs Yooh,NORMAL,7,766,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
CastHour,2 Beasts Unchained,kors k vs Yooh,HYPER,10,1170,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
CastHour,2 Beasts Unchained,kors k vs Yooh,ANOTHER,12,,,SOUND VOLTEX セレクション 楽曲パック vol.1
EPOLIS,20XX,COR!S,NORMAL,6,604,PEAK,楽曲パック vol.28
EPOLIS,20XX,COR!S,HYPER,9,902,PEAK,楽曲パック vol.28
EPOLIS,20XX,COR!S,ANOTHER,11,,,楽曲パック vol.28
1st&substream,22DUNK,SLAKE,NORMAL,5,333,PEAK,BIT解禁曲
1st&substream,22DUNK,SLAKE,HYPER,5,334,PEAK,BIT解禁曲
1st&substream,22DUNK,SLAKE,ANOTHER,5,329,PEAK,BIT解禁曲
INFINITAS,24h Endurance Race,"BEMANI Sound Team ""Risk Junk""",NORMAL,6,634,NOTES,初期収録曲
INFINITAS,24h Endurance Race,"BEMANI Sound Team ""Risk Junk""",HYPER,10,1160,PEAK,初期収録曲
INFINITAS,24h Endurance Race,"BEMANI Sound Team ""Risk Junk""",ANOTHER,12,,,初期収録曲
Lincle,24th Century BOY,Tatsh,NORMAL,5,,,初期収録曲
Lincle,24th Century BOY,Tatsh,HYPER,9,1049,PEAK,初期収録曲
Lincle,24th Century BOY,Tatsh,ANOTHER,11,1398,PEAK,初期収録曲
4th style,250bpm,AKIRA YAMAOKA,NORMAL,4,351,SCRATCH,BIT解禁曲
4th style,250bpm,AKIRA YAMAOKA,HYPER,7,523,SCRATCH,BIT解禁曲
4th style,250bpm,AKIRA YAMAOKA,ANOTHER,9,672,PEAK,BIT解禁曲
CANNON BALLERS,255,255,NORMAL,6,564,SCRATCH,BIT解禁曲
CANNON BALLERS,255,255,HYPER,9,953,PEAK,BIT解禁曲
CANNON BALLERS,255,255,ANOTHER,12,1590,NOTES,BIT解禁曲
HEROIC VERSE,27th style,"三代目 ""dj TAKA & DAYBREAKERS""",NORMAL,5,623,SCRATCH,楽曲パック vol.20
HEROIC VERSE,27th style,"三代目 ""dj TAKA & DAYBREAKERS""",HYPER,8,907,SCRATCH,楽曲パック vol.20
HEROIC VERSE,27th style,"三代目 ""dj TAKA & DAYBREAKERS""",ANOTHER,11,1257,SCRATCH,楽曲パック vol.20
HEROIC VERSE,27th style,"三代目 ""dj TAKA & DAYBREAKERS""",LEGGENDARIA,12,1723,SCRATCH,楽曲パック vol.20
RESIDENT,3V0,BlackY,NORMAL,5,530,PEAK,楽曲パック vol.26
RESIDENT,3V0,BlackY,HYPER,9,930,NOTES,楽曲パック vol.26
RESIDENT,3V0,BlackY,ANOTHER,11,1530,PEAK,楽曲パック vol.26
EMPRESS,3y3s,青龍,NORMAL,8,804,PEAK,BIT解禁曲
EMPRESS,3y3s,青龍,HYPER,10,1461,CHORD,BIT解禁曲
EMPRESS,3y3s,青龍,ANOTHER,12,1882,CHORD,BIT解禁曲
INFINITAS,3y3s(Long ver.),青龍,NORMAL,8,1571,CHORD,DJP解禁曲
INFINITAS,3y3s(Long ver.),青龍,HYPER,10,2696,CHORD,DJP解禁曲
INFINITAS,3y3s(Long ver.),青龍,ANOTHER,12,,,DJP解禁曲
tricoro,405nm (Ryu☆mix),Another Infinity,NORMAL,5,469,PEAK,楽曲パック vol.4
tricoro,405nm (Ryu☆mix),Another Infinity,HYPER,9,910,NOTES,楽曲パック vol.4
tricoro,405nm (Ryu☆mix),Another Infinity,ANOTHER,11,1361,PEAK,楽曲パック vol.4
1st&substream,5.1.1.,dj nagureo,NORMAL,1,99,PEAK,初期収録曲
1st&substream,5.1.1.,dj nagureo,HYPER,7,511,NOTES,初期収録曲
1st&substream,5.1.1.,dj nagureo,ANOTHER,10,796,NOTES,初期収録曲
Rootage,50th Memorial Songs -Beginning Story-,BEMANI Sound Team,NORMAL,4,433,PEAK,初期収録曲
Rootage,50th Memorial Songs -Beginning Story-,BEMANI Sound Team,HYPER,8,867,NOTES,初期収録曲
Rootage,50th Memorial Songs -Beginning Story-,BEMANI Sound Team,ANOTHER,11,1468,CHORD,初期収録曲
Rootage,50th Memorial Songs -Flagship medley-,BEMANI Sound Team,NORMAL,5,481,PEAK,初期収録曲
Rootage,50th Memorial Songs -Flagship medley-,BEMANI Sound Team,HYPER,8,889,NOTES,初期収録曲
Rootage,50th Memorial Songs -Flagship medley-,BEMANI Sound Team,ANOTHER,10,1148,CHORD,初期収録曲
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,BEMANI Sound Team,NORMAL,5,623,NOTES,初期収録曲
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,BEMANI Sound Team,HYPER,8,829,NOTES,初期収録曲
Rootage,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,BEMANI Sound Team,ANOTHER,10,1317,CHORD,初期収録曲
Rootage,50th Memorial Songs -The BEMANI History-,BEMANI Sound Team,NORMAL,6,628,PEAK,初期収録曲
Rootage,50th Memorial Songs -The BEMANI History-,BEMANI Sound Team,HYPER,9,785,NOTES,初期収録曲
Rootage,50th Memorial Songs -The BEMANI History-,BEMANI Sound Team,ANOTHER,11,1290,PEAK,初期収録曲
Lincle,532nm,Ryu☆,NORMAL,4,352,PEAK,BIT解禁曲
Lincle,532nm,Ryu☆,HYPER,7,686,PEAK,BIT解禁曲
Lincle,532nm,Ryu☆,ANOTHER,11,1310,NOTES,BIT解禁曲
RESIDENT,7 Colors,kors k feat.吉河順央,NORMAL,4,318,NOTES,楽曲パック vol.25
RESIDENT,7 Colors,kors k feat.吉河順央,HYPER,7,597,NOTES,楽曲パック vol.25
RESIDENT,7 Colors,kors k feat.吉河順央,ANOTHER,10,997,NOTES,楽曲パック vol.25
CastHour,808monkey,AJURIKA,NORMAL,4,393,NOTES,楽曲パック vol.23
CastHour,808monkey,AJURIKA,HYPER,7,655,NOTES,楽曲パック vol.23
CastHour,808monkey,AJURIKA,ANOTHER,9,969,PEAK,楽曲パック vol.23
tricoro,8bit Princess,seiya-murai feat. ALT,NORMAL,3,343,PEAK,楽曲パック vol.4
tricoro,8bit Princess,seiya-murai feat. ALT,HYPER,6,621,NOTES,楽曲パック vol.4
tricoro,8bit Princess,seiya-murai feat. ALT,ANOTHER,10,1355,CHORD,楽曲パック vol.4
8th style,蒼い衝動,NAOKI feat.YUKI,NORMAL,5,524,NOTES,BIT解禁曲
8th style,蒼い衝動,NAOKI feat.YUKI,HYPER,6,685,NOTES,BIT解禁曲
8th style,蒼い衝動,NAOKI feat.YUKI,ANOTHER,9,795,PEAK,BIT解禁曲
CastHour,青の洞窟,Ujico*,NORMAL,4,472,NOTES,楽曲パック vol.23
CastHour,青の洞窟,Ujico*,HYPER,9,1027,NOTES,楽曲パック vol.23
CastHour,青の洞窟,Ujico*,ANOTHER,11,1560,NOTES,楽曲パック vol.23
INFINITAS,朱と碧のランページ,NU-KO,NORMAL,5,512,NOTES,pop'n music セレクション 楽曲パック vol.1
INFINITAS,朱と碧のランページ,NU-KO,HYPER,8,850,NOTES,pop'n music セレクション 楽曲パック vol.1
INFINITAS,朱と碧のランページ,NU-KO,ANOTHER,10,,,pop'n music セレクション 楽曲パック vol.1
CastHour,アクマフカ,Pizuya's Cell,NORMAL,5,382,NOTES,楽曲パック vol.24
CastHour,アクマフカ,Pizuya's Cell,HYPER,8,774,NOTES,楽曲パック vol.24
CastHour,アクマフカ,Pizuya's Cell,ANOTHER,10,1229,NOTES,楽曲パック vol.24
copula,朝焼けから始まるボクらの小さな旅,cosMo＠暴走P,NORMAL,5,478,PEAK,楽曲パック vol.10
copula,朝焼けから始まるボクらの小さな旅,cosMo＠暴走P,HYPER,9,858,PEAK,楽曲パック vol.10
copula,朝焼けから始まるボクらの小さな旅,cosMo＠暴走P,ANOTHER,11,1369,PEAK,楽曲パック vol.10
copula,紫陽花 -AZISAI-,Camellia Vs. Expander,NORMAL,7,675,PEAK,楽曲パック vol.10
copula,紫陽花 -AZISAI-,Camellia Vs. Expander,HYPER,10,1118,NOTES,楽曲パック vol.10
copula,紫陽花 -AZISAI-,Camellia Vs. Expander,ANOTHER,12,1496,NOTES,楽曲パック vol.10
tricoro,アストライアの双皿,ZODIACSYNDICATE,NORMAL,5,505,NOTES,楽曲パック vol.3
tricoro,アストライアの双皿,ZODIACSYNDICATE,HYPER,9,1105,NOTES,楽曲パック vol.3
tricoro,アストライアの双皿,ZODIACSYNDICATE,ANOTHER,12,1514,NOTES,楽曲パック vol.3
EPOLIS,アタシ完全絶対正義ちゃん！,Pizuya's Cell,NORMAL,5,512,NOTES,楽曲パック vol.28
EPOLIS,アタシ完全絶対正義ちゃん！,Pizuya's Cell,HYPER,8,814,NOTES,楽曲パック vol.28
EPOLIS,アタシ完全絶対正義ちゃん！,Pizuya's Cell,ANOTHER,10,,,楽曲パック vol.28
EMPRESS,アタック NO.3,IDEA NOTE,NORMAL,6,,,BIT解禁曲
EMPRESS,アタック NO.3,IDEA NOTE,HYPER,9,889,NOTES,BIT解禁曲
EMPRESS,アタック NO.3,IDEA NOTE,ANOTHER,10,1180,NOTES,BIT解禁曲
CastHour,天邪鬼,Qlarabelle,NORMAL,5,514,NOTES,楽曲パック vol.23
